Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['Time', 'Age', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.1838152408599854,0.0750950848062833,0.0336250394272307,0.149673173824946,0.6052506888906161,-1.5172623197237651
"['Time', 'Age', 'BioWeight', 'Biomass0', 'Protein']",1.1842020750045776,0.0751262536893288,0.033949620090425,0.1501378553609053,0.6110931833585104,-1.518784523010254
"['Age', 'CPR', 'dCarbon_Feed', 'Biomass0', 'miuSimp', 'Protein']",1.1846730709075928,0.0753392241895198,0.0339946317447659,0.1439677060892184,0.6119033756355444,-1.5261049667994182
"['Time', 'BiomassEst', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1737604935963948,0.0755490337808926,0.0226624384522438,0.1382739394903183,0.4079238995909691,0.4272706508636474
"['Time', 'Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Protein']",1.1714529196421306,0.0755901709198951,0.0202725585550069,0.1355772341291109,0.3649060428142547,0.588873823483785
"['BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.171953002611796,0.0758791913588841,0.0201946375891566,0.1346977427601814,0.363503485918045,0.590572734673818
"['BiomassEst', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'miuSimp', 'Protein']",1.1727780103683472,0.0762087057034174,0.0203605496014157,0.1395251254240671,0.3664898922046025,0.6886384089787801
"['BioWeight', 'CPR', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1779103676478069,0.0764593842128912,0.0249915267340838,0.1371631572643915,0.4498474871118863,0.3961900472640991
"['Time', 'dBiomassEst', 'CPR', 'miuSimp', 'Protein']",1.1724851926167803,0.0765491041044394,0.0193870474273959,0.1384724527597427,0.3489668567975362,0.7129917144775391
"['Age', 'BiomassEst', 'BioWeight', 'CPR', 'Biomass0', 'Protein']",1.187151829401652,0.0765576077004273,0.0340366742263237,0.1529885753989219,0.6126601447661718,-1.5196048219998677
"['Age', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.173815409342448,0.0765978557368119,0.0206197149430712,0.1319260783493518,0.3711548646291097,0.6137460569540659
"['BiomassEst', 'dBiomassEst', 'CPR', 'Carbon_Feed', 'Protein']",1.1739312012990315,0.0766099244356155,0.020711335974435,0.1410196696718534,0.3728040556112925,0.7101487119992574
"['BiomassEst', 'CPR', 'Carbon_Feed', 'Biomass0', 'Protein']",1.1842478513717651,0.0772036736210187,0.0298405522480607,0.1591274961829185,0.5371299485365549,-1.4031620820363362
"['Carbon_Feed', 'Biomass0', 'Induction', 'Protein']",1.1859095493952434,0.0773171422382195,0.0312752742320299,0.1532029708226522,0.56295495480299,-0.9813651442527772
